carrot_variety,carrot_parts,agrobacteria_type,gene,conditions,time_in_MS1D_dark,time_in_MS1D_dl,time_in_half_MS1D_dl,time_in_quarter_MS1D_dl,antibiotics_in_MS1D_dl,antibiotics_in_half_MS1D_dl,antibiotics_in_qaurter_MS1D_dl,callus_status,PCR_Gel_status,GC_MS_polyacetylene_percentage
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,20
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,15
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,12
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,14
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,0
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,24
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,26
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,29
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,18
scarlet_nantes,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,17
scarlet_nantes,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,petiole,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,11
scarlet_nantes,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,10
scarlet_nantes,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,root,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,20
scarlet_nantes,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,19
scarlet_nantes,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,stem,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,absent,24
scarlet_nantes,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,present,present,29
scarlet_nantes,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
scarlet_nantes,leaf,no_bacteria,no_gene,non-cocultivated,3,14,56,14,not_required,not_required,not_required,absent,absent,0
danvers_half_long,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,82
danvers_half_long,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,77
danvers_half_long,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,92
danvers_half_long,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,79
danvers_half_long,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,79
danvers_half_long,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,85
danvers_half_long,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,77
danvers_half_long,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,80
danvers_half_long,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,88
danvers_half_long,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,80
danvers_half_long,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,84
danvers_half_long,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,79
danvers_half_long,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,84
danvers_half_long,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,88
danvers_half_long,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,80
danvers_half_long,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,80
scarlet_nantes,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,83
scarlet_nantes,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,88
scarlet_nantes,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,89
scarlet_nantes,petiole,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,absent,absent,0
scarlet_nantes,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,77
scarlet_nantes,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,83
scarlet_nantes,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,78
scarlet_nantes,root,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,85
scarlet_nantes,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,86
scarlet_nantes,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,87
scarlet_nantes,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,0
scarlet_nantes,stem,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,84
scarlet_nantes,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,86
scarlet_nantes,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,88
scarlet_nantes,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,absent,absent,0
scarlet_nantes,leaf,LBA4404,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,85
danvers_half_long,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,13
danvers_half_long,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,11
danvers_half_long,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,17
danvers_half_long,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,18
danvers_half_long,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,12
danvers_half_long,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,29
danvers_half_long,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,13
danvers_half_long,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,17
danvers_half_long,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,17
danvers_half_long,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,10
danvers_half_long,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,15
danvers_half_long,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,21
danvers_half_long,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,30
danvers_half_long,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,28
danvers_half_long,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,27
danvers_half_long,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,27
scarlet_nantes,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,0
scarlet_nantes,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,29
scarlet_nantes,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,17
scarlet_nantes,petiole,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,absent,absent,0
scarlet_nantes,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,29
scarlet_nantes,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,16
scarlet_nantes,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,24
scarlet_nantes,root,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,30
scarlet_nantes,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,29
scarlet_nantes,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,15
scarlet_nantes,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,30
scarlet_nantes,stem,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,15
scarlet_nantes,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,30
scarlet_nantes,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,20
scarlet_nantes,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,absent,absent,0
scarlet_nantes,leaf,LBA4404,empty_vector,cocultivated,3,14,56,14,required,required,required,present,present,19
danvers_half_long,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,22
danvers_half_long,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,18
danvers_half_long,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,10
danvers_half_long,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,21
danvers_half_long,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,19
danvers_half_long,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,11
danvers_half_long,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,15
danvers_half_long,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,12
danvers_half_long,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,11
danvers_half_long,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,19
danvers_half_long,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,16
danvers_half_long,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,13
danvers_half_long,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,21
danvers_half_long,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,13
danvers_half_long,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,25
danvers_half_long,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,18
scarlet_nantes,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,17
scarlet_nantes,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,15
scarlet_nantes,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,19
scarlet_nantes,petiole,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,absent,absent,22
scarlet_nantes,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,11
scarlet_nantes,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,15
scarlet_nantes,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,22
scarlet_nantes,root,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,12
scarlet_nantes,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,10
scarlet_nantes,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,17
scarlet_nantes,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,16
scarlet_nantes,stem,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,14
scarlet_nantes,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,absent,absent,0
scarlet_nantes,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,17
scarlet_nantes,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,absent,absent,19
scarlet_nantes,leaf,LBA4404,peaq_p19_gfp,cocultivated,3,14,56,14,required,required,required,present,present,21
danvers_half_long,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,78
danvers_half_long,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,82
danvers_half_long,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,75
danvers_half_long,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,85
danvers_half_long,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,79
danvers_half_long,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,82
danvers_half_long,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,72
danvers_half_long,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,77
danvers_half_long,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,80
danvers_half_long,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,84
danvers_half_long,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,77
danvers_half_long,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,71
danvers_half_long,leaf,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,76
danvers_half_long,leaf,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,74
danvers_half_long,leaf,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,83
danvers_half_long,leaf,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,72
scarlet_nantes,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,82
scarlet_nantes,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,77
scarlet_nantes,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,84
scarlet_nantes,petiole,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,absent,absent,0
scarlet_nantes,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,78
scarlet_nantes,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,78
scarlet_nantes,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,70
scarlet_nantes,root,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,79
scarlet_nantes,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,72
scarlet_nantes,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,70
scarlet_nantes,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,70
scarlet_nantes,stem,GV3101,acet_552,cocultivated,3,14,56,14,required,required,required,present,present,75
